scene,topic,grade,engine
personality,試過3間補習社，間間都係俾練習佢做，冇人解釋點解錯,fb,svg
chart,P5媽媽嘅噩夢：仲有1年就呈分試，但你小朋友連分數乘除都未搞掂,fb,svg
personality,教數學教到嘔 — 我哋點解建議家長「外判」,fb,svg
steps,「數學科係考閱讀理解多過計算」— 一位家長向立法會嘅申訴,fb,svg
math_flow,呢條題目全級70%人錯 — 連老師都話係呈分試最陰濕嘅陷阱,fb,svg
social_proof,港漂媽媽：嚟咗香港9個月，我由死都不補習變咗每個月洗$5000補習,fb,svg
diagram,明明識計但永遠錯同一題？你小朋友可能中咗「隱形陷阱」,fb,svg
timeline,呈分試最後90日 — 一個P6媽媽嘅終極備戰日記,fb,svg
differentiation,試過3間補習社，間間都係咁,ig,svg
chart,P5媽媽，你仲有1年,ig,svg
personality,教數學教到懷疑人生？,ig,svg
steps,「數學科係考閱讀理解」,ig,svg
math_flow,$100+20%-20% = $96 唔係$100,ig,svg
social_proof,嚟咗香港9個月，我認輸了,ig,svg
diagram,90%錯誤唔係因為唔識,ig,svg
timeline,呈分試最後90日真實記錄,ig,svg
big_idea,你唔係唔想幫佢，你係唔知點幫,ig,svg
personality,香港媽媽血淚史｜試過3間補習社之後，我終於搵到答案,xhs,svg
chart,P5媽媽必看｜你以為仲有2年，其實你得返1年,xhs,svg
big_idea,我決定唔再教小朋友數學｜一個令好多媽媽共鳴嘅決定,xhs,svg
steps,香港數學教育最荒謬嘅現實｜「教淺考深」係真嘅,xhs,svg
math_flow,呢條題目全級70%人錯｜呈分試最攞命嘅數學陷阱,xhs,svg
social_proof,嚟咗香港9個月，我由堅決不補習變咗每個月使$5000補習,xhs,svg
diagram,小朋友唔係數學差，係有「陷阱盲點」｜90%家長唔知嘅真相,xhs,svg
timeline,P6呈分試最後90日｜一個媽媽同仔仔嘅真實備戰記錄,xhs,svg
numbered,香港小學數學補習點揀？｜業內人士先會話你知嘅5個真相,xhs,svg
urgency,暑假數學倒退2-3個月｜但係有個簡單方法可以避免,xhs,svg
